p10,p25,p50,p75,p90,metric,comid,result_type,source2,ReportingNode,Scenario
117.99725,122.54115,124.404975,131.7319875,141.36465,DS_Mag_50,22518274,observed,SUSTAIN_Junction_33,LA1,Baseline_WRP100_UBF100
95.30105,96.360275,98.17445,103.78355,105.35215,DS_Mag_50,22518274,observed,SUSTAIN_Junction_33,LA1,Baseline_WRP100_UBF50
33.54105,34.4441125,36.266425,38.915575,40.37015,DS_Mag_50,22518274,observed,SUSTAIN_Junction_33,LA1,Baseline_WRP50_UBF0
82.513,88.991275,92.669625,96.60815,108.553975,DS_Mag_50,22518274,observed,SUSTAIN_Junction_33,LA1,Baseline_WRP50_UBF100
60.69045,62.6819375,63.61855,67.6353375,72.51785,DS_Mag_50,22518274,observed,SUSTAIN_Junction_33,LA1,Baseline_WRP50_UBF50
3.17593,3.2282025,3.3614,4.7194,6.129965,Wet_BFL_Mag_10,22518274,observed,SUSTAIN_Junction_33,LA1,Baseline_WRP0_UBF0
47.38589,52.748035,59.72412,74.7654275,80.354145,Wet_BFL_Mag_10,22518274,observed,SUSTAIN_Junction_33,LA1,Baseline_WRP0_UBF100
25.906315,28.97122,33.11327,40.70151,43.44447,Wet_BFL_Mag_10,22518274,observed,SUSTAIN_Junction_33,LA1,Baseline_WRP0_UBF50
67.451795,70.35186,75.903955,76.80113,78.93757,Wet_BFL_Mag_10,22518274,observed,SUSTAIN_Junction_33,LA1,Baseline_WRP100_UBF0
117.584475,120.999595,132.11782,151.910935,157.673785,Wet_BFL_Mag_10,22518274,observed,SUSTAIN_Junction_33,LA1,Baseline_WRP100_UBF100
93.550645,96.605075,104.616535,113.6396925,117.67252,Wet_BFL_Mag_10,22518274,observed,SUSTAIN_Junction_33,LA1,Baseline_WRP100_UBF50
35.491365,36.8759525,40.15587,41.01709,42.22793,Wet_BFL_Mag_10,22518274,observed,SUSTAIN_Junction_33,LA1,Baseline_WRP50_UBF0
84.225865,88.1327475,96.187155,113.96733,119.5564,Wet_BFL_Mag_10,22518274,observed,SUSTAIN_Junction_33,LA1,Baseline_WRP50_UBF100
60.462465,62.95488,68.81073,77.416575,80.93812,Wet_BFL_Mag_10,22518274,observed,SUSTAIN_Junction_33,LA1,Baseline_WRP50_UBF50
1.43055,1.4619375,1.5289,1.5593375,1.660725,DS_Mag_50,22515824,observed,SUSTAIN_Junction_24,LA11,Baseline_WRP0_UBF0
11.399425,13.1162375,15.674075,16.726925,20.6611,DS_Mag_50,22515824,observed,SUSTAIN_Junction_24,LA11,Baseline_WRP0_UBF100
7.30535,8.677825,9.04225,9.3742,11.2471,DS_Mag_50,22515824,observed,SUSTAIN_Junction_24,LA11,Baseline_WRP0_UBF50
62.1136,64.15215,67.835425,73.1937125,74.47295,DS_Mag_50,22515824,observed,SUSTAIN_Junction_24,LA11,Baseline_WRP100_UBF0
73.616675,76.4050125,80.7735,86.0385375,90.823675,DS_Mag_50,22515824,observed,SUSTAIN_Junction_24,LA11,Baseline_WRP100_UBF100
67.61025,69.1885,75.15765,80.005025,82.45875,DS_Mag_50,22515824,observed,SUSTAIN_Junction_24,LA11,Baseline_WRP100_UBF50
31.7535,32.714125,34.59755,37.3212,38.5438,DS_Mag_50,22515824,observed,SUSTAIN_Junction_24,LA11,Baseline_WRP50_UBF0
42.8887,45.0438,47.54535,50.701425,55.17955,DS_Mag_50,22515824,observed,SUSTAIN_Junction_24,LA11,Baseline_WRP50_UBF100
37.23925,38.564975,42.103925,44.3825,46.79135,DS_Mag_50,22515824,observed,SUSTAIN_Junction_24,LA11,Baseline_WRP50_UBF50
1.483075,1.561095,1.69861,1.864775,2.26601,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_24,LA11,Baseline_WRP0_UBF0
10.704625,15.886085,21.552105,24.979285,31.75507,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_24,LA11,Baseline_WRP0_UBF100
6.30842,9.37062,13.07929,14.368205,17.65274,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_24,LA11,Baseline_WRP0_UBF50
67.25313,71.00284,72.69492,75.13466,75.69686,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_24,LA11,Baseline_WRP100_UBF0
75.23357,79.971275,92.7343,99.258285,105.771195,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_24,LA11,Baseline_WRP100_UBF100
73.626215,79.51002,84.69349,87.1814675,91.675185,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_24,LA11,Baseline_WRP100_UBF50
34.44565,36.63696,37.64219,38.38498,38.806945,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_24,LA11,Baseline_WRP50_UBF0
45.53371,51.5998225,59.212025,61.88886,66.90484,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_24,LA11,Baseline_WRP50_UBF100
40.344795,44.7502625,49.779405,50.46775,53.586475,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_24,LA11,Baseline_WRP50_UBF50
-0.050275,-0.003125,0.089275,0.1406125,0.2527,DS_Mag_50,22514960,observed,SUSTAIN_Junction_22,LA13,Baseline_WRP0_UBF0
9.9368,11.6534375,14.0347,14.359125,18.666275,DS_Mag_50,22514960,observed,SUSTAIN_Junction_22,LA13,Baseline_WRP0_UBF100
5.871125,7.2984125,7.6069,7.925775,9.83045,DS_Mag_50,22514960,observed,SUSTAIN_Junction_22,LA13,Baseline_WRP0_UBF50
48.25865,49.537875,51.784075,56.077175,57.092075,DS_Mag_50,22514960,observed,SUSTAIN_Junction_22,LA13,Baseline_WRP100_UBF0
60.312325,62.3285875,64.0765,69.10375,73.8308,DS_Mag_50,22514960,observed,SUSTAIN_Junction_22,LA13,Baseline_WRP100_UBF100
54.01725,54.84185,57.82765,62.3292,64.86615,DS_Mag_50,22514960,observed,SUSTAIN_Junction_22,LA13,Baseline_WRP100_UBF50
24.20175,24.839625,26.26905,28.2727875,28.626975,DS_Mag_50,22514960,observed,SUSTAIN_Junction_22,LA13,Baseline_WRP50_UBF0
35.16095,37.0654375,38.85355,41.9202625,46.3785,DS_Mag_50,22514960,observed,SUSTAIN_Junction_22,LA13,Baseline_WRP50_UBF100
29.9817,30.9361875,32.089075,34.60715,37.4219,DS_Mag_50,22514960,observed,SUSTAIN_Junction_22,LA13,Baseline_WRP50_UBF50
