"Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5","ReportingNode","Scenario"
"2011",NA,239,NA,NA,1,217.674230045796,3,0.495709650114857,65,13746.5878,174,128,5.11031,10.62605,46,NA,124.5,79,NA,5,1,17631.709,5872.0446,14047.15136,NA,2,1,"LA3","Aggressive_non_Infiltration_WRP0_UBF0"
"2012",149,222,3.4278,4.51536,3,5359.87584921937,4,0.120318447278961,10,726.6936,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17631.709,5872.0446,14047.15136,NA,NA,NA,"LA3","Aggressive_non_Infiltration_WRP0_UBF0"
"2013",271,232,3.2596,7.8514,NA,NA,NA,0.104415092253886,11,1227.4031,221,216,3.21715,4.84355,5,NA,NA,NA,NA,NA,NA,17631.709,5872.0446,14047.15136,NA,NA,NA,"LA3","Aggressive_non_Infiltration_WRP0_UBF0"
"2014",223,194,3.1587,3.67354,2,111.840357305257,8,0.0817797998750473,40,10134.0256,154,17,3.46144,3.6229,137,NA,150,NA,NA,1,NA,17631.709,5872.0446,14047.15136,NA,1,NA,"LA3","Aggressive_non_Infiltration_WRP0_UBF0"
"2015",194,239,3.1106,5.39113000000002,2,959.73415592115,31,0.0733889125540072,10,1134.1225,229,178,3.13471,3.638,51,NA,72,NA,NA,1,NA,17631.709,5872.0446,14047.15136,NA,1,NA,"LA3","Aggressive_non_Infiltration_WRP0_UBF0"
"2016",207,230,3.0327,6.37158,6,338.049273562928,4,0.119570023212114,35,391.9042,195,128,3.25194,4.4122,67,NA,NA,NA,NA,NA,NA,17631.709,5872.0446,14047.15136,NA,NA,NA,"LA3","Aggressive_non_Infiltration_WRP0_UBF0"
"2017",210,227,3.21105,6.15072,3,409.512535396591,16,0.0857182971150083,84,12152.2172,143,72,6.43335,51.55345,71,113,113,113,1,3,1,17631.709,5872.0446,14047.15136,1,3,1,"LA3","Aggressive_non_Infiltration_WRP0_UBF0"
"2011",NA,239,NA,NA,1,219.105614884038,3,0.510079958479978,64,4302.3662,175,129,5.13872,12.9097,46,NA,124.5,79,NA,5,1,19663.27534,6646.0305,15915.1867,NA,2,1,"F319","Aggressive_non_Infiltration_WRP0_UBF0"
"2012",148,223,3.42775,4.48677,3,5598.51837249409,4,0.195153107777656,11,877.4019,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19663.27534,6646.0305,15915.1867,NA,NA,NA,"F319","Aggressive_non_Infiltration_WRP0_UBF0"
"2013",271,232,3.2618,9.7792,NA,NA,NA,0.104415092253886,11,1276.2925,221,216,3.21715,4.99205,5,NA,NA,NA,NA,NA,NA,19663.27534,6646.0305,15915.1867,NA,NA,NA,"F319","Aggressive_non_Infiltration_WRP0_UBF0"
"2014",223,194,3.1587,3.6876,2,112.23212157528,8,0.0976973565794473,40,10775.1435,154,17,3.46144,3.6229,137,NA,150,NA,NA,1,NA,19663.27534,6646.0305,15915.1867,NA,1,NA,"F319","Aggressive_non_Infiltration_WRP0_UBF0"
"2015",194,239,3.1106,5.41662000000002,2,1085.84822505206,31,0.114953542392567,10,1231.0546,229,178,3.13471,3.72665,51,NA,72,NA,NA,1,NA,19663.27534,6646.0305,15915.1867,NA,1,NA,"F319","Aggressive_non_Infiltration_WRP0_UBF0"
"2016",207,230,3.0327,7.45836,6,364.354807278338,4,0.165819807913161,36,429.7448,194,127,3.25092,5.1137,67,NA,NA,NA,NA,NA,NA,19663.27534,6646.0305,15915.1867,NA,NA,NA,"F319","Aggressive_non_Infiltration_WRP0_UBF0"
"2017",210,227,3.21105,7.33029,3,519.611094176103,16,0.096842192365892,84,13348.9363,143,72,6.97785,78.33985,71,113,113,113,1,3,1,19663.27534,6646.0305,15915.1867,1,3,1,"F319","Aggressive_non_Infiltration_WRP0_UBF0"
"2011",NA,239,NA,NA,1,219.112417489095,3,0.510079958479978,64,4317.3946,175,129,5.13872,12.9097,46,NA,124.5,79,NA,5,1,19759.53524,6683.9686,15955.8915,NA,2,1,"LA2","Aggressive_non_Infiltration_WRP0_UBF0"
"2012",148,223,3.42775,4.48677,3,5606.62039313654,4,0.195172690665337,11,884.2563,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19759.53524,6683.9686,15955.8915,NA,NA,NA,"LA2","Aggressive_non_Infiltration_WRP0_UBF0"
"2013",271,232,3.2618,10.6417,NA,NA,NA,0.104415092253886,11,1285.9711,221,216,3.21715,5.0079,5,NA,NA,NA,NA,NA,NA,19759.53524,6683.9686,15955.8915,NA,NA,NA,"LA2","Aggressive_non_Infiltration_WRP0_UBF0"
"2014",223,194,3.1587,3.6876,2,112.323015540957,8,0.0976973565794473,40,10803.9127,154,17,3.46144,3.6229,137,NA,150,NA,NA,1,NA,19759.53524,6683.9686,15955.8915,NA,1,NA,"LA2","Aggressive_non_Infiltration_WRP0_UBF0"
