"p10","p25","p50","p75","p90","metric","comid","result_type","source2","ReportingNode"
9415.75554,9415.75554,9415.75554,9415.75554,9415.75554,"Peak_10",22515824,"observed","SWMM
","LA11"
3766.0829,3766.0829,3766.0829,3766.0829,3766.0829,"Peak_2",22515824,"observed","SWMM
","LA11"
7796.9807,7796.9807,7796.9807,7796.9807,7796.9807,"Peak_5",22515824,"observed","SWMM
","LA11"
1,1,1,1,1,"Peak_Fre_10",22515824,"observed","SWMM
","LA11"
1,1,1.5,2.25,2.7,"Peak_Fre_2",22515824,"observed","SWMM
","LA11"
1,1,1,1,1,"Peak_Fre_5",22515824,"observed","SWMM
","LA11"
119,182.75,196.5,203.5,239.5,"DS_Dur_WS",22514960,"observed","SWMM
","LA13"
197.2,225.5,237,286.5,321.6,"DS_Tim",22514960,"observed","SWMM
","LA13"
60.312825,62.3290875,64.077025,69.1042625,73.83135,"DS_Mag_50",22514960,"observed","SWMM
","LA13"
65.32799,68.8288675,71.55187,74.1422575,78.31601,"DS_Mag_90",22514960,"observed","SWMM
","LA13"
1,1.5,2,3,3.4,"FA_Dur",22514960,"observed","SWMM
","LA13"
226.984425678564,253.067897117887,265.765288146568,431.274333857437,1146.26682044064,"FA_Mag",22514960,"observed","SWMM
","LA13"
3.6,4,8,13,22,"FA_Tim",22514960,"observed","SWMM
","LA13"
0.00685930450387014,0.00842500485590047,0.0289484536504807,0.0487160094104409,0.0558402889821999,"SP_ROC",22514960,"observed","SWMM
","LA13"
13.4,20,34,89,139.4,"SP_Dur",22514960,"observed","SWMM
","LA13"
514.23938,766.5161,2853.0023,7494.2205,9189.38316,"SP_Mag",22514960,"observed","SWMM
","LA13"
149.6,164,195,210,224.2,"SP_Tim",22514960,"observed","SWMM
","LA13"
