"p10","p25","p50","p75","p90","metric","comid","result_type","source2","ReportingNode","Scenario"
0.382110412000227,0.442874642863111,0.449906876598692,0.677996579834587,0.796444845704168,"SP_ROC",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
17.8,29,39,74.5,83.4,"SP_Dur",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
560.50162,1100.86645,2671.3905,7257.44295,8891.18042,"SP_Mag",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
149.6,154.5,174,197,207.8,"SP_Tim",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
45,81,109,125,157.5,"Wet_BFL_Dur",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
0.051425,0.0761725,0.21359,0.341325,0.73315,"Wet_BFL_Mag_10",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
0.24165,0.336925,0.3737,1.867425,3.80095,"Wet_BFL_Mag_50",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
42.5,52.75,63.5,69,103.5,"Wet_Tim",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
170,170,170,170,170,"Peak_Tim_10",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
84.3,102.75,118.75,130.875,142.35,"Peak_Tim_2",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
142.1,146.75,154.5,162.25,166.9,"Peak_Tim_5",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Dur_10",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1.5,2.25,2.7,"Peak_Dur_2",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Dur_5",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
8891.18042,8891.18042,8891.18042,8891.18042,8891.18042,"Peak_10",22515824,"observed","SUSTAIN_Junction_23","GLEN","Aggressive_non_Infiltration_WRP0_UBF0"
